Model,MAE,RMSE,R²,MAPE (%),Max Error,Within ±5% (%),Pearson r,p-value
Ridge Regression,2.162,2.814,0.979,3.99,7.11,88.0,0.989,0.0
Lasso Regression,2.278,3.014,0.976,4.15,8.51,90.0,0.988,0.0
Decision Tree,3.299,4.646,0.943,5.82,12.0,74.0,0.971,0.0
Random Forest,3.374,4.898,0.937,6.83,15.51,78.0,0.969,0.0
Gradient Boosting,2.456,3.646,0.965,4.56,13.97,86.0,0.982,0.0
Extra Trees,2.93,4.22,0.953,5.86,11.28,74.0,0.978,0.0
SVR (RBF),3.226,4.6,0.944,6.66,17.02,82.0,0.978,0.0
KNN Regressor,3.544,4.74,0.941,6.39,15.69,74.0,0.971,0.0
Stacking Ensemble,2.913,3.99,0.958,5.09,14.8,84.0,0.981,0.0
